,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
7030,2012-01-30 00:00:00,Belmont,North Florida Ospreys,Curb Event Center,83,69,Belmont,North Florida Ospreys,REG,Curb Event Center,,,,,,,,,,,,
6873,2012-02-08 00:00:00,Virginia Cavaliers,Wake Forest,John Paul Jones Arena,68,44,Virginia Cavaliers,Wake Forest,REG,John Paul Jones Arena,,,,,,,,,,,,
8205,2012-01-28 00:00:00,Utah Valley Wolverines,NJIT,McKay Events Center,81,58,Utah Valley Wolverines,NJIT,REG,McKay Events Center,,,,,,,,,,,,
8377,2011-11-12 00:00:00,Rice Owls,New Orleans,Tudor Fieldhouse,83,49,Rice Owls,New Orleans,REG,Tudor Fieldhouse,,,,,,,,,,,,
8892,2011-11-22 00:00:00,Middle Tennessee Blue Raiders,Cumberland University,Murphy Athletic Center,88,48,Middle Tennessee Blue Raiders,Cumberland University,REG,Murphy Athletic Center,,,,,,,,,,,,
7683,2012-02-04 00:00:00,Northern Arizona,Portland State Vikings,Walkup Skydome,65,76,Portland State Vikings,Northern Arizona,REG,Walkup Skydome,,,,,,,,,,,,
7309,2011-12-20 00:00:00,Tennessee Volunteers,North Carolina-Asheville,Thompson-Boling Arena,72,68,Tennessee Volunteers,North Carolina-Asheville,REG,Thompson-Boling Arena,,,,,,,,,,,,
7120,2012-03-20 00:00:00,Oakland,Rice Owls,Athletics Center O'rena,77,70,Oakland,Rice Owls,CIT,Athletics Center O'rena,,,,,,,,,,,,
5502,2012-02-04 00:00:00,Tulane,Houston Cougars,Avron B. Fogelman Arena,75,54,Tulane,Houston Cougars,REG,Avron B. Fogelman Arena,,,,,,,,,,,,
6485,2012-03-22 00:00:00,Syracuse Orange,Wisconsin (14),,64,63,Syracuse Orange,Wisconsin (14),NCAA,,,,,,,,,,,,,
4677,2012-01-08 00:00:00,USC Trojans,Arizona,Galen Center,46,57,Arizona,USC Trojans,REG,Galen Center,,,,,,,,,,,,
5915,2011-11-19 00:00:00,Richmond,Sacred Heart Pioneers,Robins Center,83,58,Richmond,Sacred Heart Pioneers,REG,Robins Center,,,,,,,,,,,,
6867,2011-12-18 00:00:00,Illinois State Redbirds,Norfolk State,Redbird Arena,68,36,Illinois State Redbirds,Norfolk State,REG,Redbird Arena,,,,,,,,,,,,
6171,2012-03-19 00:00:00,Washington State Cougars,Wyoming,Friel Court,61,41,Washington State Cougars,Wyoming,CBI,Friel Court,,,,,,,,,,,,
7303,2012-02-16 00:00:00,Washington State Cougars,Arizona,Friel Court,72,76,Arizona,Washington State Cougars,REG,Friel Court,,,,,,,,,,,,
96151,2011-11-26 00:00:00,Central Arkansas,Eastern Illinois Panthers,Jeff Farris Center,107,96,Central Arkansas,Eastern Illinois Panthers,REG,Jeff Farris Center,,,,,,,,,,,,
8621,2011-11-30 00:00:00,Eastern Illinois Panthers,Maine,Lantz Arena,85,80,Eastern Illinois Panthers,Maine,REG,Lantz Arena,,,,,,,,,,,,
4886,2011-12-10 00:00:00,Georgetown (18),Howard Bison,Verizon Center,62,48,Georgetown (18),Howard Bison,REG,Verizon Center,,,,,,,,,,,,
4114,2011-12-30 00:00:00,Eastern Illinois Panthers,Murray State (20),Lantz Arena,40,73,Murray State (20),Eastern Illinois Panthers,REG,Lantz Arena,,,,,,,,,,,,
6878,2011-12-03 00:00:00,Yale Bulldogs,Vermont,John J. Lee Ampitheater,68,52,Yale Bulldogs,Vermont,REG,John J. Lee Ampitheater,,,,,,,,,,,,
4685,2012-01-19 00:00:00,Eastern Illinois Panthers,Tennessee State,Lantz Arena,46,55,Tennessee State,Eastern Illinois Panthers,REG,Lantz Arena,,,,,,,,,,,,
4610,2012-01-26 00:00:00,Jacksonville State,Eastern Illinois Panthers,Pete Mathews Coliseum,63,45,Jacksonville State,Eastern Illinois Panthers,REG,Pete Mathews Coliseum,,,,,,,,,,,,
5931,2011-12-31 00:00:00,Kansas (17),North Dakota UND,Allen Fieldhouse,84,58,Kansas (17),North Dakota UND,REG,Allen Fieldhouse,,,,,,,,,,,,
5415,2012-01-21 00:00:00,Savannah State,South Carolina State Bulldogs,Tiger Arena,83,53,Savannah State,South Carolina State Bulldogs,REG,Tiger Arena,,,,,,,,,,,,
4360,2012-02-02 00:00:00,Eastern Illinois Panthers,Eastern Kentucky,Lantz Arena,43,47,Eastern Kentucky,Eastern Illinois Panthers,REG,Lantz Arena,,,,,,,,,,,,
5571,2012-02-08 00:00:00,West Virginia,Notre Dame Fighting Irish,WVU Coliseum,51,55,Notre Dame Fighting Irish,West Virginia,REG,WVU Coliseum,,,,,,,,,,,,
7478,2012-02-09 00:00:00,Tennessee Tech,Eastern Illinois Panthers,Eblen Center,57,74,Eastern Illinois Panthers,Tennessee Tech,REG,Eblen Center,,,,,,,,,,,,
4020,2012-02-23 00:00:00,Morehead State,Eastern Illinois Panthers,Ellis T. Johnson Arena,75,39,Morehead State,Eastern Illinois Panthers,REG,Ellis T. Johnson Arena,,,,,,,,,,,,
7188,2012-02-25 00:00:00,Yale Bulldogs,Cornell,John J. Lee Ampitheater,71,40,Yale Bulldogs,Cornell,REG,John J. Lee Ampitheater,,,,,,,,,,,,
7395,2011-11-15 00:00:00,Weber State Wildcats,Utah State,Dee Events Center,73,63,Weber State Wildcats,Utah State,REG,Dee Events Center,,,,,,,,,,,,
6363,2011-11-19 00:00:00,Eastern Kentucky Colonels,William & Mary,,63,44,Eastern Kentucky Colonels,William & Mary,REG,,,,,,,,,,,,,
5208,2011-12-22 00:00:00,Colorado,Texas Southern Tigers,Coors Events/Conference Center,56,51,Colorado,Texas Southern Tigers,REG,Coors Events/Conference Center,,,,,,,,,,,,
10760,2011-12-03 00:00:00,Eastern Kentucky Colonels,Brescia,McBrayer Arena,107,43,Eastern Kentucky Colonels,Brescia,REG,McBrayer Arena,,,,,,,,,,,,
7582,2012-03-03 00:00:00,Duquesne,Saint Louis Billikens,A.J. Palumbo Center,60,75,Saint Louis Billikens,Duquesne,REG,A.J. Palumbo Center,,,,,,,,,,,,
5807,2011-11-30 00:00:00,North Carolina (5),Wisconsin Badgers,Dean Smith Center,60,57,North Carolina (5),Wisconsin Badgers,REG,Dean Smith Center,,,,,,,,,,,,
7413,2011-11-18 00:00:00,Marquette (21),Winthrop Eagles,,95,73,Marquette (21),Winthrop Eagles,REG,,,,,,,,,,,,,
6612,2011-11-23 00:00:00,Baylor (9),Texas-Arlington Mavericks,Ferrell Center,75,65,Baylor (9),Texas-Arlington Mavericks,REG,Ferrell Center,,,,,,,,,,,,
8711,2012-03-14 00:00:00,Idaho Vandals,UC-Santa Barbara,Cowan Spectrum,86,83,Idaho Vandals,UC-Santa Barbara,CIT,Cowan Spectrum,,,,,,,,,,,,
6622,2011-11-25 00:00:00,Tennessee Tech Golden Eagles,Lamar,Eblen Center,65,85,Lamar,Tennessee Tech Golden Eagles,REG,Eblen Center,,,,,,,,,,,,
8640,2012-01-28 00:00:00,Tennessee State,Eastern Kentucky Colonels,Gentry Center Complex,91,85,Tennessee State,Eastern Kentucky Colonels,REG,Gentry Center Complex,,,,,,,,,,,,
4756,2012-02-02 00:00:00,Eastern Illinois,Eastern Kentucky Colonels,Lantz Arena,43,47,Eastern Kentucky Colonels,Eastern Illinois,REG,Lantz Arena,,,,,,,,,,,,
5962,2011-11-12 00:00:00,Pepperdine Waves,Pomona-Pitzer,,59,50,Pepperdine Waves,Pomona-Pitzer,REG,,,,,,,,,,,,,
4583,2012-02-25 00:00:00,Fairleigh Dickinson Knights,St. Francis (NY),Rothman Center,45,44,Fairleigh Dickinson Knights,St. Francis (NY),REG,Rothman Center,,,,,,,,,,,,
7901,2011-12-30 00:00:00,Richmond Spiders,North Carolina-Greensboro,Robins Center,78,58,Richmond Spiders,North Carolina-Greensboro,REG,Robins Center,,,,,,,,,,,,
8713,2011-12-17 00:00:00,Toledo Rockets,Youngstown State,John F. Savage Hall,86,77,Toledo Rockets,Youngstown State,REG,John F. Savage Hall,,,,,,,,,,,,
6634,2011-12-15 00:00:00,Murray State (24),Lipscomb Bisons,Regional Special Events Center,89,65,Murray State (24),Lipscomb Bisons,REG,Regional Special Events Center,,,,,,,,,,,,
6886,2012-02-02 00:00:00,Illinois-Chicago,Youngstown State Penguins,UIC Pavilion,72,68,Illinois-Chicago,Youngstown State Penguins,REG,UIC Pavilion,,,,,,,,,,,,
5014,2012-01-21 00:00:00,Creighton (19),Indiana State Sycamores,Qwest Center OMAHA,75,49,Creighton (19),Indiana State Sycamores,REG,Qwest Center OMAHA,,,,,,,,,,,,
6694,2011-12-13 00:00:00,South Carolina Gamecocks,Presbyterian,The Colonial Life Arena,66,58,South Carolina Gamecocks,Presbyterian,REG,The Colonial Life Arena,,,,,,,,,,,,
4117,2011-11-27 00:00:00,Eastern Michigan Eagles,Michigan State,Convocation Center,40,72,Michigan State,Eastern Michigan Eagles,REG,Convocation Center,,,,,,,,,,,,
4925,2011-11-29 00:00:00,Syracuse (4),Eastern Michigan Eagles,Carrier Dome,84,48,Syracuse (4),Eastern Michigan Eagles,REG,Carrier Dome,,,,,,,,,,,,
3683,2011-12-10 00:00:00,Purdue,Eastern Michigan Eagles,Mackey Arena,61,36,Purdue,Eastern Michigan Eagles,REG,Mackey Arena,,,,,,,,,,,,
5109,2011-11-11 00:00:00,South Carolina,Western Carolina Catamounts,The Colonial Life Arena,75,50,South Carolina,Western Carolina Catamounts,REG,The Colonial Life Arena,,,,,,,,,,,,
3772,2011-12-30 00:00:00,Air Force,Eastern Michigan Eagles,,42,37,Air Force,Eastern Michigan Eagles,REG,,,,,,,,,,,,,
4765,2012-01-07 00:00:00,Northern Illinois,Eastern Michigan Eagles,Convocation Center,40,47,Eastern Michigan Eagles,Northern Illinois,REG,Convocation Center,,,,,,,,,,,,
5175,2012-02-08 00:00:00,West Virginia Mountaineers,Notre Dame,WVU Coliseum,51,55,Notre Dame,West Virginia Mountaineers,REG,WVU Coliseum,,,,,,,,,,,,
4177,2012-01-21 00:00:00,Eastern Michigan Eagles,Toledo,Convocation Center,41,38,Eastern Michigan Eagles,Toledo,REG,Convocation Center,,,,,,,,,,,,
5279,2012-01-07 00:00:00,Virginia Cavaliers,Miami (FL),John Paul Jones Arena,52,51,Virginia Cavaliers,Miami (FL),REG,John Paul Jones Arena,,,,,,,,,,,,
4885,2012-02-10 00:00:00,Wright State Raiders,Green Bay,Ervin J. Nutter Center,48,53,Green Bay,Wright State Raiders,REG,Ervin J. Nutter Center,,,,,,,,,,,,
7087,2012-01-02 00:00:00,Ohio,Robert Morris Colonials,Convocation Center,67,70,Robert Morris Colonials,Ohio,REG,Convocation Center,,,,,,,,,,,,
9013,2011-12-15 00:00:00,North Dakota UND,South Dakota State,Betty Engelstad Sioux Center,89,70,North Dakota UND,South Dakota State,REG,Betty Engelstad Sioux Center,,,,,,,,,,,,
7997,2012-02-18 00:00:00,Sacramento State,San Jose State Spartans,Hornets Nest,67,79,San Jose State Spartans,Sacramento State,REG,Hornets Nest,,,,,,,,,,,,
10473,2011-12-08 00:00:00,Eastern Washington Eagles,Linfield,Reese Court,104,54,Eastern Washington Eagles,Linfield,REG,Reese Court,,,,,,,,,,,,
7711,2011-12-10 00:00:00,Wichita State,Utah State Aggies,Charles Koch Arena,83,76,Wichita State,Utah State Aggies,REG,Charles Koch Arena,,,,,,,,,,,,
4792,2012-02-03 00:00:00,Loyola (IL) Ramblers,Cleveland State,Joseph J. Gentile Center,47,65,Cleveland State,Loyola (IL) Ramblers,REG,Joseph J. Gentile Center,,,,,,,,,,,,
8399,2012-02-22 00:00:00,Purdue Boilermakers,Nebraska,Mackey Arena,83,65,Purdue Boilermakers,Nebraska,REG,Mackey Arena,,,,,,,,,,,,
7236,2011-12-19 00:00:00,Vanderbilt,Longwood Lancers,Memorial Gymnasium,99,71,Vanderbilt,Longwood Lancers,REG,Memorial Gymnasium,,,,,,,,,,,,
7115,2012-01-18 00:00:00,New Mexico Lobos,San Diego State (16),The Pit/Bob King Court,70,75,San Diego State (16),New Mexico Lobos,REG,The Pit/Bob King Court,,,,,,,,,,,,
7933,2012-01-16 00:00:00,Seattle,Eastern Washington Eagles,KeyArena at Seattle Center,91,78,Seattle,Eastern Washington Eagles,REG,KeyArena at Seattle Center,,,,,,,,,,,,
7612,2012-01-21 00:00:00,Texas A&M,Oklahoma Sooners,Reed Arena,81,75,Texas A&M,Oklahoma Sooners,REG,Reed Arena,,,,,,,,,,,,
7414,2011-11-16 00:00:00,Lafayette,St. Francis (NY) Terriers,Kirby Sports Center,79,73,Lafayette,St. Francis (NY) Terriers,REG,Kirby Sports Center,,,,,,,,,,,,
6515,2011-11-27 00:00:00,Alabama (13),VCU Rams,Coleman Coliseum,72,64,Alabama (13),VCU Rams,REG,Coleman Coliseum,,,,,,,,,,,,
8771,2011-12-03 00:00:00,Loyola Marymount Lions,La Sierra,Albert Gersten Pavilion,87,45,Loyola Marymount Lions,La Sierra,REG,Albert Gersten Pavilion,,,,,,,,,,,,
5161,2011-12-01 00:00:00,St. Peter's Peacocks,Siena,Yanitelli Center,51,44,St. Peter's Peacocks,Siena,REG,Yanitelli Center,,,,,,,,,,,,
10988,2011-12-15 00:00:00,North Carolina-Asheville Bulldogs,Montreat,Kimmel Arena,109,61,North Carolina-Asheville Bulldogs,Montreat,REG,Kimmel Arena,,,,,,,,,,,,
5615,2011-12-11 00:00:00,Washington State,Santa Clara Broncos,Friel Court,93,55,Washington State,Santa Clara Broncos,REG,Friel Court,,,,,,,,,,,,
62146,2011-12-29 00:00:00,North Carolina (5),Elon Phoenix,Dean Smith Center,100,62,North Carolina (5),Elon Phoenix,REG,Dean Smith Center,,,,,,,,,,,,
6083,2012-03-07 00:00:00,Oklahoma State,Texas Tech Red Raiders,,76,60,Oklahoma State,Texas Tech Red Raiders,CTOURN,,,,,,,,,,,,,
4497,2012-02-08 00:00:00,Virginia (19),Wake Forest Demon Deacons,John Paul Jones Arena,68,44,Virginia (19),Wake Forest Demon Deacons,REG,John Paul Jones Arena,,,,,,,,,,,,
8115,2012-02-22 00:00:00,La Salle,Temple Owls,Tom Gola Arena,79,80,Temple Owls,La Salle,REG,Tom Gola Arena,,,,,,,,,,,,
8918,2012-03-03 00:00:00,Texas-San Antonio,Texas-Arlington Mavericks,Convocation Center,97,88,Texas-San Antonio,Texas-Arlington Mavericks,REG,Convocation Center,,,,,,,,,,,,
6734,2012-01-28 00:00:00,Appalachian State,Elon Phoenix,Holmes Convocation Center,81,66,Appalachian State,Elon Phoenix,REG,Holmes Convocation Center,,,,,,,,,,,,
10010,2012-02-02 00:00:00,Elon Phoenix,College of Charleston,Alumni Gym,99,98,Elon Phoenix,College of Charleston,REG,Alumni Gym,,,,,,,,,,,,
7180,2012-03-07 00:00:00,Northern Illinois,Western Michigan Broncos,Quicken Loans Arena,54,71,Western Michigan Broncos,Northern Illinois,CTOURN,Quicken Loans Arena,,,,,,,,,,,,
8275,2011-11-18 00:00:00,Lehigh Mountain Hawks,William & Mary,,82,57,Lehigh Mountain Hawks,William & Mary,REG,,,,,,,,,,,,,
7915,2012-02-25 00:00:00,McNeese State,Nicholls State Colonels,Burton Coliseum,75,78,Nicholls State Colonels,McNeese State,REG,Burton Coliseum,,,,,,,,,,,,
4599,2012-02-23 00:00:00,Davidson,Elon Phoenix,Belk Arena,66,45,Davidson,Elon Phoenix,REG,Belk Arena,,,,,,,,,,,,
9414,2012-02-25 00:00:00,Elon Phoenix,North Carolina-Greensboro,Alumni Gym,93,79,Elon Phoenix,North Carolina-Greensboro,REG,Alumni Gym,,,,,,,,,,,,
6561,2012-03-03 00:00:00,Elon Phoenix,Georgia Southern,,65,58,Elon Phoenix,Georgia Southern,CTOURN,,,,,,,,,,,,,
8083,2011-11-11 00:00:00,Utah Valley Wolverines,Simpson (CA),McKay Events Center,80,53,Utah Valley Wolverines,Simpson (CA),REG,McKay Events Center,,,,,,,,,,,,
4920,2012-01-24 00:00:00,Boston University,UMBC Retrievers,Agganis Arena,83,48,Boston University,UMBC Retrievers,REG,Agganis Arena,,,,,,,,,,,,
7679,2011-12-05 00:00:00,Florida State Seminoles,Charleston Southern,Donald L. Tucker Center,76,51,Florida State Seminoles,Charleston Southern,REG,Donald L. Tucker Center,,,,,,,,,,,,
9096,2012-01-18 00:00:00,Evansville Purple Aces,Bradley,Ford Center,90,67,Evansville Purple Aces,Bradley,REG,Ford Center,,,,,,,,,,,,
7529,2012-01-31 00:00:00,Arkansas,Vanderbilt Commodores,Bud Walton Arena,82,74,Arkansas,Vanderbilt Commodores,REG,Bud Walton Arena,,,,,,,,,,,,
8230,2012-01-28 00:00:00,Sacred Heart,Mount St. Mary's Mountaineers,William H. Pitt Center,80,81,Mount St. Mary's Mountaineers,Sacred Heart,REG,William H. Pitt Center,,,,,,,,,,,,
9275,2011-12-10 00:00:00,South Dakota State Jackrabbits,North Dakota,Frost Arena,92,54,South Dakota State Jackrabbits,North Dakota,REG,Frost Arena,,,,,,,,,,,,
5270,2012-02-01 00:00:00,New Hampshire Wildcats,Hartford,Lundholm Gymnasium,52,51,New Hampshire Wildcats,Hartford,REG,Lundholm Gymnasium,,,,,,,,,,,,
9332,2012-02-21 00:00:00,Creighton,Evansville Purple Aces,Qwest Center OMAHA,93,92,Creighton,Evansville Purple Aces,REG,Qwest Center OMAHA,,,,,,,,,,,,
7266,2012-03-02 00:00:00,Indiana State,Wichita State Shockers,Scottrade Center,48,72,Wichita State Shockers,Indiana State,CTOURN,Scottrade Center,,,,,,,,,,,,
8719,2012-02-26 00:00:00,Siena Saints,Canisius,Times Union Center,86,75,Siena Saints,Canisius,REG,Times Union Center,,,,,,,,,,,,
7314,2011-12-17 00:00:00,Vermont Catamounts,Iona,Roy L. Patrick Gymnasium,72,73,Iona,Vermont Catamounts,REG,Roy L. Patrick Gymnasium,,,,,,,,,,,,
5582,2011-12-07 00:00:00,Southern Illinois Salukis,Western Kentucky,The SIU Arena,55,62,Western Kentucky,Southern Illinois Salukis,REG,The SIU Arena,,,,,,,,,,,,
5863,2011-12-11 00:00:00,Fairfield Stags,New Hampshire,,58,52,Fairfield Stags,New Hampshire,REG,,,,,,,,,,,,,
7210,2012-02-24 00:00:00,Valparaiso Crusaders,Butler,Athletics-Recreation Center,71,59,Valparaiso Crusaders,Butler,REG,Athletics-Recreation Center,,,,,,,,,,,,
7275,2012-03-01 00:00:00,Illinois,Michigan Wolverines,Assembly Hall,61,72,Michigan Wolverines,Illinois,REG,Assembly Hall,,,,,,,,,,,,
7598,2012-01-26 00:00:00,Sacramento State,Weber State Wildcats,Hornets Nest,60,75,Weber State Wildcats,Sacramento State,REG,Hornets Nest,,,,,,,,,,,,
6481,2011-11-12 00:00:00,Virginia Tech Hokies,East Tennessee State,Cassell Coliseum,64,53,Virginia Tech Hokies,East Tennessee State,REG,Cassell Coliseum,,,,,,,,,,,,
6173,2012-02-15 00:00:00,Fairfield Stags,Saint Peter's,Arena at Harbor Yard,61,38,Fairfield Stags,Saint Peter's,REG,Arena at Harbor Yard,,,,,,,,,,,,
8579,2012-03-04 00:00:00,Fairfield Stags,Iona,,85,75,Fairfield Stags,Iona,CTOURN,,,,,,,,,,,,,
4470,2012-03-05 00:00:00,Fairfield Stags,Loyola (MD),MassMutual Center,44,48,Loyola (MD),Fairfield Stags,CTOURN,MassMutual Center,,,,,,,,,,,,
6890,2012-02-22 00:00:00,Illinois State,Wichita State Shockers,Redbird Arena,55,68,Wichita State Shockers,Illinois State,REG,Redbird Arena,,,,,,,,,,,,
6008,2011-11-25 00:00:00,Oklahoma State,Virginia Tech Hokies,Madison Square Garden (IV),57,59,Virginia Tech Hokies,Oklahoma State,REG,Madison Square Garden (IV),,,,,,,,,,,,
7526,2012-02-09 00:00:00,Presbyterian,Virginia Military Institute Keydets,Ross E.Templeton Center,94,74,Presbyterian,Virginia Military Institute Keydets,REG,Ross E.Templeton Center,,,,,,,,,,,,
6319,2011-11-26 00:00:00,North Dakota UND,Western Illinois,Betty Engelstad Sioux Center,62,65,Western Illinois,North Dakota UND,REG,Betty Engelstad Sioux Center,,,,,,,,,,,,
4696,2011-11-17 00:00:00,Furman Paladins,Mercer,Timmons Arena,46,66,Mercer,Furman Paladins,REG,Timmons Arena,,,,,,,,,,,,
5406,2011-11-29 00:00:00,Ball State,Texas Southern Tigers,Worthen Arena,64,53,Ball State,Texas Southern Tigers,REG,Worthen Arena,,,,,,,,,,,,
5435,2011-12-28 00:00:00,NJIT,Fairleigh Dickinson Knights,Estelle and Zoom Fleisher Athletic Center,66,53,NJIT,Fairleigh Dickinson Knights,REG,Estelle and Zoom Fleisher Athletic Center,,,,,,,,,,,,
4587,2012-03-16 00:00:00,Florida (25),Virginia Cavaliers,,71,45,Florida (25),Virginia Cavaliers,NCAA,,,,,,,,,,,,,
5206,2011-11-25 00:00:00,Wyoming,Portland State Vikings,Arena-Auditorium,65,51,Wyoming,Portland State Vikings,REG,Arena-Auditorium,,,,,,,,,,,,
4881,2012-01-12 00:00:00,Chattanooga,Wofford Terriers,The McKenzie Arena,51,48,Chattanooga,Wofford Terriers,REG,The McKenzie Arena,,,,,,,,,,,,
6297,2011-11-25 00:00:00,New Mexico,Washington State Cougars,,72,62,New Mexico,Washington State Cougars,REG,,,,,,,,,,,,,
6921,2011-12-31 00:00:00,Winthrop Eagles,North Carolina-Asheville,Winthrop Coliseum,68,73,North Carolina-Asheville,Winthrop Eagles,REG,Winthrop Coliseum,,,,,,,,,,,,
7127,2012-01-31 00:00:00,Iowa State,Kansas State Wildcats,James H. Hilton Coliseum,72,70,Iowa State,Kansas State Wildcats,REG,James H. Hilton Coliseum,,,,,,,,,,,,
8128,2012-02-23 00:00:00,Fairleigh Dickinson Knights,Long Island University,Rothman Center,80,91,Long Island University,Fairleigh Dickinson Knights,REG,Rothman Center,,,,,,,,,,,,
6030,2011-11-11 00:00:00,Georgia Tech,Florida A&M Rattlers,Alexander Memorial Coliseum,92,59,Georgia Tech,Florida A&M Rattlers,REG,Alexander Memorial Coliseum,,,,,,,,,,,,
6128,2011-12-31 00:00:00,Washington,Oregon Ducks,Bank of America Arena,76,60,Washington,Oregon Ducks,REG,Bank of America Arena,,,,,,,,,,,,
6013,2011-11-29 00:00:00,Oregon,UTEP Miners,Matthew Knight Arena,64,59,Oregon,UTEP Miners,REG,Matthew Knight Arena,,,,,,,,,,,,
6225,2011-11-25 00:00:00,Florida A&M Rattlers,Southern,South Padre Island Convention Centre,61,64,Southern,Florida A&M Rattlers,REG,South Padre Island Convention Centre,,,,,,,,,,,,
4724,2011-11-26 00:00:00,Florida A&M Rattlers,Western Carolina,South Padre Island Convention Centre,46,62,Western Carolina,Florida A&M Rattlers,REG,South Padre Island Convention Centre,,,,,,,,,,,,
5992,2012-02-18 00:00:00,Sam Houston State,Toledo Rockets,Johnson Coliseum,58,59,Toledo Rockets,Sam Houston State,REG,Johnson Coliseum,,,,,,,,,,,,
9506,2012-02-09 00:00:00,Presbyterian Blue Hose,Virginia Military Institute,Ross E.Templeton Center,94,74,Presbyterian Blue Hose,Virginia Military Institute,REG,Ross E.Templeton Center,,,,,,,,,,,,
6026,2011-11-27 00:00:00,Mississippi State (24),North Texas Mean Green,Humphrey Coliseum,82,59,Mississippi State (24),North Texas Mean Green,REG,Humphrey Coliseum,,,,,,,,,,,,
7029,2011-12-31 00:00:00,University of California,UCLA Bruins,Haas Pavilion,85,69,University of California,UCLA Bruins,REG,Haas Pavilion,,,,,,,,,,,,
6447,2011-12-21 00:00:00,Florida A&M Rattlers,North Florida,Multipurpose Center and Teaching Gym,63,90,North Florida,Florida A&M Rattlers,REG,Multipurpose Center and Teaching Gym,,,,,,,,,,,,
6213,2011-12-23 00:00:00,Missouri State Bears,Saint Mary's (CA),Orleans Arena,61,77,Saint Mary's (CA),Missouri State Bears,REG,Orleans Arena,,,,,,,,,,,,
5587,2012-01-07 00:00:00,Wake Forest,Virginia Tech Hokies,Lawrence Joel Coliseum,58,55,Wake Forest,Virginia Tech Hokies,REG,Lawrence Joel Coliseum,,,,,,,,,,,,
6289,2012-02-22 00:00:00,Lamar,Stephen F. Austin Lumberjacks,Montagne Center,52,62,Stephen F. Austin Lumberjacks,Lamar,REG,Montagne Center,,,,,,,,,,,,
5919,2012-01-26 00:00:00,Middle Tennessee,Troy Trojans,Murphy Athletic Center,71,58,Middle Tennessee,Troy Trojans,REG,Murphy Athletic Center,,,,,,,,,,,,
5201,2012-02-18 00:00:00,Harvard,Yale Bulldogs,Lavietes Pavilion,66,51,Harvard,Yale Bulldogs,REG,Lavietes Pavilion,,,,,,,,,,,,
6996,2012-03-06 00:00:00,Portland State,Weber State Wildcats,Adams Center/Dahlberg Arena,63,69,Weber State Wildcats,Portland State,CTOURN,Adams Center/Dahlberg Arena,,,,,,,,,,,,
8421,2012-02-20 00:00:00,South Carolina State,Florida A&M Rattlers,SHM Memorial Center,82,83,Florida A&M Rattlers,South Carolina State,REG,SHM Memorial Center,,,,,,,,,,,,
6035,2011-12-27 00:00:00,Notre Dame,Pitt Panthers,Purcell Pavilion at the Joyce Center,72,59,Notre Dame,Pitt Panthers,REG,Purcell Pavilion at the Joyce Center,,,,,,,,,,,,
7142,2012-02-27 00:00:00,Florida A&M Rattlers,Norfolk State,Multipurpose Center and Teaching Gym,70,79,Norfolk State,Florida A&M Rattlers,REG,Multipurpose Center and Teaching Gym,,,,,,,,,,,,
8103,2012-03-01 00:00:00,St. Francis (NY),Quinnipiac Bobcats,Pope Physical Education Center,72,80,Quinnipiac Bobcats,St. Francis (NY),CTOURN,Pope Physical Education Center,,,,,,,,,,,,
5523,2011-11-30 00:00:00,Kansas (15),Florida Atlantic Owls,Allen Fieldhouse,77,54,Kansas (15),Florida Atlantic Owls,REG,Allen Fieldhouse,,,,,,,,,,,,
9889,2011-12-10 00:00:00,Florida Atlantic Owls,Warner Southern,FAU Arena,98,70,Florida Atlantic Owls,Warner Southern,REG,FAU Arena,,,,,,,,,,,,
9129,2011-12-17 00:00:00,Florida Atlantic Owls,Miami (FL),BankAtlantic Center,90,93,Miami (FL),Florida Atlantic Owls,REG,BankAtlantic Center,,,,,,,,,,,,
5202,2012-02-29 00:00:00,Louisville Cardinals,South Florida,KFC Yum! Center,51,58,South Florida,Louisville Cardinals,REG,KFC Yum! Center,,,,,,,,,,,,
5607,2011-12-17 00:00:00,Stanford,San Diego Toreros,Maples Pavilion,75,55,Stanford,San Diego Toreros,REG,Maples Pavilion,,,,,,,,,,,,
5844,2012-01-05 00:00:00,Florida Atlantic Owls,Louisiana-Monroe,FAU Arena,58,30,Florida Atlantic Owls,Louisiana-Monroe,REG,FAU Arena,,,,,,,,,,,,
3867,2012-01-07 00:00:00,Arkansas-Little Rock,Florida Atlantic Owls,Jack Stephens Center,40,38,Arkansas-Little Rock,Florida Atlantic Owls,REG,Jack Stephens Center,,,,,,,,,,,,
8701,2011-11-20 00:00:00,Oregon Ducks,Southeast Missouri State,Matthew Knight Arena,86,61,Oregon Ducks,Southeast Missouri State,REG,Matthew Knight Arena,,,,,,,,,,,,
5573,2012-01-05 00:00:00,Long Beach State 49ers,Cal Poly,The Walter Pyramid,55,50,Long Beach State 49ers,Cal Poly,REG,The Walter Pyramid,,,,,,,,,,,,
7990,2011-11-14 00:00:00,Florida International Panthers,George Mason,,79,76,Florida International Panthers,George Mason,REG,,,,,,,,,,,,,
6498,2012-01-21 00:00:00,Western Michigan Broncos,Central Michigan,University Arena,64,61,Western Michigan Broncos,Central Michigan,REG,University Arena,,,,,,,,,,,,
