,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
5697,2012-01-07 00:00:00,James Madison Dukes,Northeastern,JMU Convocation Center,56,68,Northeastern,James Madison Dukes,REG,JMU Convocation Center,,,,,,,,,,,,
4713,2011-11-13 00:00:00,Texas,Boston University Terriers,Frank Erwin Center,82,46,Texas,Boston University Terriers,REG,Frank Erwin Center,,,,,,,,,,,,
7111,2012-02-20 00:00:00,Villanova Wildcats,Connecticut,Wells Fargo Center,70,73,Connecticut,Villanova Wildcats,REG,Wells Fargo Center,,,,,,,,,,,,
6888,2011-11-25 00:00:00,Virginia Cavaliers,Green Bay,John Paul Jones Arena,68,42,Virginia Cavaliers,Green Bay,REG,John Paul Jones Arena,,,,,,,,,,,,
5299,2011-11-23 00:00:00,Niagara,Sam Houston State Bearkats,University Center,59,52,Niagara,Sam Houston State Bearkats,REG,University Center,,,,,,,,,,,,
4399,2011-11-29 00:00:00,Delaware State,Eastern Kentucky Colonels,Memorial Hall,57,43,Delaware State,Eastern Kentucky Colonels,REG,Memorial Hall,,,,,,,,,,,,
6210,2012-02-15 00:00:00,Texas State,Texas A&M-Corpus Christi Islanders,Strahan Coliseum,79,61,Texas State,Texas A&M-Corpus Christi Islanders,REG,Strahan Coliseum,,,,,,,,,,,,
5411,2012-02-15 00:00:00,Northern Illinois Huskies,Western Michigan,Convocation Center,53,78,Western Michigan,Northern Illinois Huskies,REG,Convocation Center,,,,,,,,,,,,
7012,2012-01-28 00:00:00,Florida Gators,Mississippi State (18),Stephen C. O'Connell Center,69,57,Florida Gators,Mississippi State (18),REG,Stephen C. O'Connell Center,,,,,,,,,,,,
6870,2012-02-01 00:00:00,Michigan Wolverines,Indiana (20),Crisler Arena,68,56,Michigan Wolverines,Indiana (20),REG,Crisler Arena,,,,,,,,,,,,
7791,2012-01-14 00:00:00,Xavier Musketeers,St. Bonaventure,Cintas Center,77,64,Xavier Musketeers,St. Bonaventure,REG,Cintas Center,,,,,,,,,,,,
6604,2012-02-04 00:00:00,Florida (12),Vanderbilt Commodores,Stephen C. O'Connell Center,73,65,Florida (12),Vanderbilt Commodores,REG,Stephen C. O'Connell Center,,,,,,,,,,,,
5812,2011-12-19 00:00:00,Southern Illinois,Southern Illinois-Edwardsville Cougars,The SIU Arena,80,57,Southern Illinois,Southern Illinois-Edwardsville Cougars,REG,The SIU Arena,,,,,,,,,,,,
6782,2012-01-04 00:00:00,Oklahoma State Cowboys,Texas Tech,Gallagher-Iba Arena,67,59,Oklahoma State Cowboys,Texas Tech,REG,Gallagher-Iba Arena,,,,,,,,,,,,
8195,2012-01-08 00:00:00,Stony Brook Seawolves,Albany (NY),Pritchard Gymnasium,81,68,Stony Brook Seawolves,Albany (NY),REG,Pritchard Gymnasium,,,,,,,,,,,,
6776,2011-12-07 00:00:00,South Alabama,Southern Miss Golden Eagles,Mitchell Center,54,67,Southern Miss Golden Eagles,South Alabama,REG,Mitchell Center,,,,,,,,,,,,
5484,2012-01-19 00:00:00,Holy Cross,Lafayette Leopards,Hart Recreation Center,43,54,Lafayette Leopards,Holy Cross,REG,Hart Recreation Center,,,,,,,,,,,,
6493,2011-11-07 00:00:00,Arizona (16),Valparaiso Crusaders,McKale Center,73,64,Arizona (16),Valparaiso Crusaders,REG,McKale Center,,,,,,,,,,,,
4956,2012-03-03 00:00:00,Boston University Terriers,Hartford,,49,53,Hartford,Boston University Terriers,CTOURN,,,,,,,,,,,,,
6795,2012-03-27 00:00:00,Minnesota,Washington Huskies,,68,67,Minnesota,Washington Huskies,NIT,,,,,,,,,,,,,
6803,2011-11-17 00:00:00,Colorado,Wichita State Shockers,José Miguel Agrelot Coliseum,58,67,Wichita State Shockers,Colorado,REG,José Miguel Agrelot Coliseum,,,,,,,,,,,,
5381,2011-11-18 00:00:00,Youngstown State Penguins,UC-Riverside,Beeghly Center,53,49,Youngstown State Penguins,UC-Riverside,REG,Beeghly Center,,,,,,,,,,,,
8763,2011-12-07 00:00:00,Bowling Green State Falcons,Malone,Stroh Center,87,44,Bowling Green State Falcons,Malone,REG,Stroh Center,,,,,,,,,,,,
8019,2012-02-25 00:00:00,South Carolina State,North Carolina A&T Aggies,SHM Memorial Center,75,79,North Carolina A&T Aggies,South Carolina State,REG,SHM Memorial Center,,,,,,,,,,,,
6112,2012-02-25 00:00:00,Louisiana-Lafayette Ragin' Cajuns,Louisiana-Monroe,Cajundome,60,78,Louisiana-Monroe,Louisiana-Lafayette Ragin' Cajuns,REG,Cajundome,,,,,,,,,,,,
6196,2012-02-21 00:00:00,Virginia Tech,Virginia Cavaliers,Cassell Coliseum,59,61,Virginia Cavaliers,Virginia Tech,REG,Cassell Coliseum,,,,,,,,,,,,
7733,2012-01-28 00:00:00,Duke (8),St. John's (NY) Red Storm,Cameron Indoor Stadium,83,76,Duke (8),St. John's (NY) Red Storm,REG,Cameron Indoor Stadium,,,,,,,,,,,,
8005,2011-11-18 00:00:00,Villanova Wildcats,Delaware,Wells Fargo Center,79,69,Villanova Wildcats,Delaware,REG,Wells Fargo Center,,,,,,,,,,,,
5579,2012-01-11 00:00:00,Bowling Green State Falcons,Akron,Stroh Center,55,56,Akron,Bowling Green State Falcons,REG,Stroh Center,,,,,,,,,,,,
8844,2012-01-14 00:00:00,Kent State,Bowling Green State Falcons,Memorial Athletic & Convocation Center,92,87,Kent State,Bowling Green State Falcons,REG,Memorial Athletic & Convocation Center,,,,,,,,,,,,
6587,2011-11-18 00:00:00,Northwestern,Tulsa Golden Hurricane,,69,65,Northwestern,Tulsa Golden Hurricane,REG,,,,,,,,,,,,,
7195,2011-11-24 00:00:00,UC-Riverside,Villanova Wildcats,Anaheim Convention Center,46,71,Villanova Wildcats,UC-Riverside,REG,Anaheim Convention Center,,,,,,,,,,,,
7265,2012-02-01 00:00:00,Western Michigan,Bowling Green State Falcons,University Arena,48,72,Bowling Green State Falcons,Western Michigan,REG,University Arena,,,,,,,,,,,,
6556,2012-02-04 00:00:00,Bowling Green State Falcons,Northern Illinois,Stroh Center,65,40,Bowling Green State Falcons,Northern Illinois,REG,Stroh Center,,,,,,,,,,,,
6175,2011-12-01 00:00:00,Texas A&M-Corpus Christi,Texas Tech Red Raiders,American Bank Center,54,61,Texas Tech Red Raiders,Texas A&M-Corpus Christi,REG,American Bank Center,,,,,,,,,,,,
6686,2012-02-16 00:00:00,Pittsburgh,West Virginia Mountaineers,Petersen Events Center,48,66,West Virginia Mountaineers,Pittsburgh,REG,Petersen Events Center,,,,,,,,,,,,
7390,2012-02-08 00:00:00,Texas-Rio Grande Valley Vaqueros,Cal State Bakersfield,UTPA Fieldhouse,73,67,Texas-Rio Grande Valley Vaqueros,Cal State Bakersfield,REG,UTPA Fieldhouse,,,,,,,,,,,,
6922,2012-02-22 00:00:00,Akron,Bowling Green State Falcons,James A. Rhodes Arena,79,68,Akron,Bowling Green State Falcons,REG,James A. Rhodes Arena,,,,,,,,,,,,
5692,2011-12-07 00:00:00,Georgia Bulldogs,Georgia Tech,Stegeman Coliseum,56,68,Georgia Tech,Georgia Bulldogs,REG,Stegeman Coliseum,,,,,,,,,,,,
5371,2012-03-05 00:00:00,Bowling Green State Falcons,Central Michigan,Stroh Center,53,54,Central Michigan,Bowling Green State Falcons,CTOURN,Stroh Center,,,,,,,,,,,,
6883,2012-01-05 00:00:00,Youngstown State Penguins,Loyola (IL),Beeghly Center,68,64,Youngstown State Penguins,Loyola (IL),REG,Beeghly Center,,,,,,,,,,,,
6693,2012-02-08 00:00:00,Western Michigan Broncos,Akron,University Arena,66,69,Akron,Western Michigan Broncos,REG,University Arena,,,,,,,,,,,,
